,layer,area,specimen_id,score
46,pool2,VISam,734865738,0.33271174355182703
47,pool2,VISam,738651054,0.3117826909734854
48,pool2,VISam,739783171,0.3340349337708908
49,pool2,VISam,742602892,0.38337030061647204
50,pool2,VISam,744915204,0.22341801063952196
51,pool2,VISam,775876828,0.24550124144088592
52,pool2,VISl,716813543,0.2612700278584814
53,pool2,VISl,723627604,0.20795693452915365
54,pool2,VISl,739783171,0.28425112639459194
55,pool2,VISl,745276236,0.4309578450778285
56,pool2,VISl,772616823,0.24893767861158542
57,pool2,VISl,775876828,0.3038629492122064
58,pool2,VISp,717038288,0.29231193934312627
59,pool2,VISp,719828690,0.2985333224677657
60,pool2,VISp,730756780,0.32761507825558966
61,pool2,VISp,738651054,0.25422184335714537
62,pool2,VISp,739783171,0.34998500030093743
63,pool2,VISp,742602892,0.3435862282836585
64,pool2,VISp,744915204,0.3071777528205171
65,pool2,VISp,772616823,0.32926873563267894
66,pool2,VISpm,726170935,0.3221050765943314
67,pool2,VISpm,734865738,0.3830202570678132
68,pool2,VISpm,738651054,0.3200202939211122
69,pool2,VISpm,739783171,0.35457746867257295
70,pool2,VISpm,742714475,0.34847170941734784
71,pool2,VISrl,716813543,0.35803398539090564
72,pool2,VISrl,723627604,0.3832287885553144
73,pool2,VISrl,732548380,0.3043024017316388
74,pool2,VISrl,738651054,0.4783290818262171
75,pool2,VISrl,742602892,0.4875077730756449
76,pool2,VISrl,742714475,0.4364554203232115
77,pool2,VISrl,744915204,0.16687090970391338
78,relu3,VISal,735109609,0.362760595100042
79,relu3,VISal,738651054,0.3274097229057274
80,relu3,VISal,739783171,0.3665664123506672
81,relu3,VISal,742714475,0.3447212306280212
82,relu3,VISal,757329624,0.35027154696926355
83,relu3,VISal,775876828,0.24900981440059816
84,relu3,VISam,730756780,0.408666266289602
85,relu3,VISam,734865738,0.333626153066476
86,relu3,VISam,738651054,0.30592606069167816
87,relu3,VISam,739783171,0.339255087102178
88,relu3,VISam,742602892,0.3796078510009711
89,relu3,VISam,744915204,0.23419061843439665
90,relu3,VISam,775876828,0.2558619122614613
91,relu3,VISl,716813543,0.27712779381793273
92,relu3,VISl,723627604,0.20309762648567198
93,relu3,VISl,739783171,0.2867352832972573
94,relu3,VISl,745276236,0.42712747070550866
95,relu3,VISl,772616823,0.24473977100023347
96,relu3,VISl,775876828,0.31792614802999836
97,relu3,VISp,717038288,0.28961323225768354
98,relu3,VISp,719828690,0.2835659774279943
99,relu3,VISp,730756780,0.3433236030207735
100,relu3,VISp,738651054,0.25347649972401176
101,relu3,VISp,739783171,0.3576427637852703
102,relu3,VISp,742602892,0.3575936030556207
103,relu3,VISp,744915204,0.30883796374983885
104,relu3,VISp,772616823,0.3342282487636615
105,relu3,VISpm,726170935,0.32439708008858975
106,relu3,VISpm,734865738,0.3843371085297979
107,relu3,VISpm,738651054,0.33562511877454254
108,relu3,VISpm,739783171,0.35517013704905737
109,relu3,VISpm,742714475,0.3451891918122395
110,relu3,VISrl,716813543,0.3672343602535941
111,relu3,VISrl,723627604,0.37491440664981857
112,relu3,VISrl,732548380,0.3039280076890921
113,relu3,VISrl,738651054,0.4672404010196821
114,relu3,VISrl,742602892,0.493594927967482
115,relu3,VISrl,742714475,0.4317842267685771
116,relu3,VISrl,744915204,0.17994998579517757
117,relu4,VISal,735109609,0.33328792433129867
118,relu4,VISal,738651054,0.3269025514810985
119,relu4,VISal,739783171,0.36617924064674445
120,relu4,VISal,742714475,0.34541499149052346
121,relu4,VISal,757329624,0.3483160012251648
122,relu4,VISal,775876828,0.25179534596115566
123,relu4,VISam,730756780,0.4038338009288121
124,relu4,VISam,734865738,0.3219632790547443
125,relu4,VISam,738651054,0.30021937799990817
126,relu4,VISam,739783171,0.34122745976893276
127,relu4,VISam,742602892,0.39164792981931873
128,relu4,VISam,744915204,0.23711142544000657
129,relu4,VISam,775876828,0.2745085542355069
130,relu4,VISl,716813543,0.29203504382893786
131,relu4,VISl,723627604,0.20729775425489377
132,relu4,VISl,739783171,0.28301925798862926
133,relu4,VISl,745276236,0.4196927891875425
134,relu4,VISl,772616823,0.23860479632655243
135,relu4,VISl,775876828,0.33072230636902955
136,relu4,VISp,717038288,0.3130771090388906
137,relu4,VISp,719828690,0.27523252327888714
138,relu4,VISp,730756780,0.34594515880958476
139,relu4,VISp,738651054,0.2603735672526162
140,relu4,VISp,739783171,0.3522607247650592
141,relu4,VISp,742602892,0.36422900475286235
142,relu4,VISp,744915204,0.320682910720147
143,relu4,VISp,772616823,0.3388041279178912
144,relu4,VISpm,726170935,0.3249699726621461
145,relu4,VISpm,734865738,0.37046366738469827
146,relu4,VISpm,738651054,0.33429677267272684
147,relu4,VISpm,739783171,0.3491422584185156
148,relu4,VISpm,742714475,0.34224526378246606
149,relu4,VISrl,716813543,0.3515627212145822
150,relu4,VISrl,723627604,0.38214483782853315
151,relu4,VISrl,732548380,0.2939482738058714
152,relu4,VISrl,738651054,0.45216946040223965
153,relu4,VISrl,742602892,0.4898713214260908
154,relu4,VISrl,742714475,0.42536639721534364
