,layer,area,specimen_id,score
75,pool2,VISrl,742602892,0.48679607057265384
76,pool2,VISrl,742714475,0.45783010001468327
77,pool2,VISrl,744915204,0.15372042417831192
78,relu3,VISal,735109609,0.36498902770695385
79,relu3,VISal,738651054,0.3299004149428923
80,relu3,VISal,739783171,0.3382726166601435
81,relu3,VISal,742714475,0.34446516160569324
82,relu3,VISal,757329624,0.33355449299974704
83,relu3,VISal,775876828,0.2360759099318081
84,relu3,VISam,730756780,0.40504983394382443
85,relu3,VISam,734865738,0.3063994859129809
86,relu3,VISam,738651054,0.3122250122846111
87,relu3,VISam,739783171,0.3503098778647461
88,relu3,VISam,742602892,0.38002193721330313
89,relu3,VISam,744915204,0.2655464643592126
90,relu3,VISam,775876828,0.2625179368551475
91,relu3,VISl,716813543,0.30208160656978933
92,relu3,VISl,723627604,0.27374040880829775
93,relu3,VISl,739783171,0.2972676119005817
94,relu3,VISl,745276236,0.4471264511855808
95,relu3,VISl,772616823,0.2802128781224147
96,relu3,VISl,775876828,0.2945854530275267
97,relu3,VISp,717038288,0.276197171655602
98,relu3,VISp,719828690,0.30967388205676155
99,relu3,VISp,730756780,0.3249536228999248
100,relu3,VISp,738651054,0.2527076148572824
101,relu3,VISp,739783171,0.34629469415577935
102,relu3,VISp,742602892,0.3854612611641477
103,relu3,VISp,744915204,0.2997171223625298
104,relu3,VISp,772616823,0.31976217408756785
105,relu3,VISpm,726170935,0.30625839928708076
106,relu3,VISpm,734865738,0.3451959267695264
107,relu3,VISpm,738651054,0.3271613143838783
108,relu3,VISpm,739783171,0.35712294382764764
109,relu3,VISpm,742714475,0.3797671831492774
110,relu3,VISrl,716813543,0.3331405562058815
111,relu3,VISrl,723627604,0.4038631820980918
112,relu3,VISrl,732548380,0.33480321245797234
113,relu3,VISrl,738651054,0.4438344289022499
114,relu3,VISrl,742602892,0.4859124486327862
115,relu3,VISrl,742714475,0.45438804629292934
116,relu3,VISrl,744915204,0.1602211877694501
117,relu4,VISal,735109609,0.37162295983495286
118,relu4,VISal,738651054,0.3392995026724843
119,relu4,VISal,739783171,0.3491874676372839
120,relu4,VISal,742714475,0.3429940078277004
121,relu4,VISal,757329624,0.3527469266940071
122,relu4,VISal,775876828,0.24844642798468067
123,relu4,VISam,730756780,0.4125127316669658
124,relu4,VISam,734865738,0.3075857995595789
125,relu4,VISam,738651054,0.32806286458286443
126,relu4,VISam,739783171,0.3519637508561153
127,relu4,VISam,742602892,0.37074122431133893
128,relu4,VISam,744915204,0.2617621443268493
129,relu4,VISam,775876828,0.26576995437944334
130,relu4,VISl,716813543,0.31407541118108995
131,relu4,VISl,723627604,0.28326981870053813
132,relu4,VISl,739783171,0.289622686266876
133,relu4,VISl,745276236,0.4386238746850615
134,relu4,VISl,772616823,0.28048201285965835
135,relu4,VISl,775876828,0.3026361384820036
136,relu4,VISp,717038288,0.27189782525604145
137,relu4,VISp,719828690,0.29832919698819016
138,relu4,VISp,730756780,0.32025377671862026
139,relu4,VISp,738651054,0.2814878830110612
140,relu4,VISp,739783171,0.3541537764159961
141,relu4,VISp,742602892,0.37692879637465393
142,relu4,VISp,744915204,0.31311717573344366
143,relu4,VISp,772616823,0.33444912730581616
144,relu4,VISpm,726170935,0.3188775552164206
145,relu4,VISpm,734865738,0.3597121007453273
146,relu4,VISpm,738651054,0.3326759174156444
147,relu4,VISpm,739783171,0.3588293442473517
148,relu4,VISpm,742714475,0.38026495512660063
149,relu4,VISrl,716813543,0.3489047883872093
150,relu4,VISrl,723627604,0.4073359963241535
151,relu4,VISrl,732548380,0.3124061843968294
152,relu4,VISrl,738651054,0.4406518404200285
153,relu4,VISrl,742602892,0.5003651906617537
154,relu4,VISrl,742714475,0.44860339960854867
155,relu4,VISrl,744915204,0.17093211023054566
156,pool5,VISal,735109609,0.3858084857051331
157,pool5,VISal,738651054,0.32459388925435584
158,pool5,VISal,739783171,0.3893132865268246
